method,query_index,query_profile_id,top_k,avg_age_diff,same_city_at_k,same_sex_at_k,same_orientation_at_k,same_status_at_k,same_job_at_k,same_education_at_k
random_baseline,36760,49849,5,5.4,0.8,0.4,0.8,1.0,,0.25
random_baseline,22514,53975,5,25.0,0.0,0.8,0.6,0.8,0.0,0.4
random_baseline,48744,11261,5,8.2,0.2,0.4,1.0,0.8,0.4,0.25
random_baseline,35848,37960,5,6.4,0.4,0.4,0.8,0.8,0.0,0.2
random_baseline,3189,35152,5,4.6,0.0,0.8,1.0,1.0,,
random_baseline,38029,6258,5,24.4,0.2,0.4,0.0,1.0,0.0,0.5
random_baseline,22161,49215,5,3.4,0.6,1.0,1.0,1.0,0.0,0.0
random_baseline,42903,37414,5,17.8,0.4,0.4,0.0,1.0,0.0,0.0
random_baseline,27260,16430,5,5.0,0.6,1.0,1.0,1.0,0.0,0.0
random_baseline,11357,39796,5,12.6,0.0,0.6,0.8,0.2,0.0,0.0
random_baseline,4293,8869,5,6.6,0.0,0.6,1.0,1.0,0.0,
random_baseline,39058,20893,5,8.6,0.0,0.6,0.6,1.0,0.0,0.2
random_baseline,38660,25271,5,5.0,0.0,0.8,1.0,1.0,0.0,0.0
random_baseline,9122,13855,5,3.6,0.6,0.6,0.4,0.2,,
random_baseline,18529,32125,5,4.0,1.0,0.4,1.0,1.0,,0.2
random_baseline,6401,39581,5,19.6,0.0,1.0,0.8,1.0,0.0,
random_baseline,4705,10913,5,6.4,0.6,0.6,0.0,0.8,0.25,0.8
random_baseline,41371,53382,5,4.0,0.8,0.6,1.0,1.0,0.0,0.6666666666666666
tfidf,20111,2606,5,4.2,0.4,0.6,0.8,1.0,0.25,
tfidf,25644,45715,5,4.8,0.4,0.6,0.0,1.0,0.0,0.0
tfidf,22505,45034,5,2.0,0.8,0.6,1.0,1.0,,0.0
tfidf,4458,39522,5,8.0,0.8,0.4,0.8,1.0,0.4,0.75
tfidf,38919,355,5,7.0,0.8,1.0,1.0,1.0,,
tfidf,48531,32833,5,2.0,0.6,1.0,0.0,0.4,0.6,0.0
tfidf,32177,59558,5,2.6,0.8,0.6,0.6,0.4,0.25,0.6
tfidf,35021,13361,5,16.4,0.6,0.4,0.0,0.8,0.25,0.0
tfidf,13834,58931,5,7.8,0.8,1.0,1.0,0.8,0.0,0.0
tfidf,22283,13213,5,9.2,0.4,0.8,0.6,0.6,,
tfidf,17724,5685,5,8.0,0.0,0.6,0.6,1.0,0.0,0.0
tfidf,33895,33362,5,3.4,0.6,0.2,1.0,1.0,,0.0
tfidf,21631,26875,5,11.0,0.4,0.4,0.6,0.8,0.4,0.0
tfidf,3395,2433,5,10.4,0.8,1.0,1.0,0.8,0.25,0.0
tfidf,39276,25445,5,7.4,0.4,0.6,1.0,1.0,0.5,0.25
tfidf,26303,39220,5,7.8,0.0,1.0,1.0,0.6,0.2,0.6
tfidf,25003,49325,5,6.6,0.6,0.8,1.0,0.8,0.0,0.0
tfidf,37898,12578,5,6.6,0.8,0.4,1.0,0.6,0.0,0.6
tfidf,10065,13596,5,4.4,0.8,1.0,0.8,0.8,0.6,0.4
tfidf,41961,39990,5,14.2,0.8,0.6,0.8,1.0,0.0,
tfidf,27720,745,5,6.6,0.4,0.4,0.4,0.6,0.0,0.0
tfidf,41119,21676,5,2.6,0.8,0.4,1.0,0.8,0.0,0.6
tfidf,8259,40010,5,5.6,0.0,0.8,1.0,1.0,0.0,0.0
tfidf,34839,7521,5,12.4,0.4,0.4,0.8,1.0,0.25,0.25
tfidf,44381,41899,5,5.8,0.4,0.6,1.0,1.0,,0.0
tfidf,44654,26296,5,9.0,0.0,0.2,1.0,1.0,,0.25
tfidf,21923,26254,5,38.8,0.0,0.4,0.6,1.0,0.0,
tfidf,4605,36237,5,7.0,0.0,0.8,1.0,1.0,,0.5
tfidf,42892,45688,5,4.0,1.0,0.6,1.0,1.0,,
tfidf,46314,23663,5,12.4,0.0,0.4,0.8,1.0,0.0,0.75
tfidf,31576,32422,5,3.8,0.6,0.4,1.0,1.0,0.0,0.0
tfidf,32697,14047,5,6.2,0.0,0.6,0.8,0.8,0.0,1.0
tfidf,36760,49849,5,4.2,0.6,0.6,0.8,1.0,,0.3333333333333333
tfidf,22514,53975,5,8.6,0.0,0.4,1.0,0.6,0.0,0.2
tfidf,48744,11261,5,8.0,0.6,1.0,1.0,1.0,0.0,0.6
tfidf,35848,37960,5,6.4,0.4,0.8,0.8,1.0,0.25,0.25
tfidf,3189,35152,5,3.4,0.6,0.4,0.8,1.0,,
tfidf,38029,6258,5,14.4,0.4,0.4,0.0,1.0,0.2,0.25
tfidf,22161,49215,5,9.6,0.8,0.4,0.8,0.8,0.3333333333333333,0.25
tfidf,42903,37414,5,4.4,0.2,0.2,0.0,0.8,0.4,0.5
tfidf,27260,16430,5,6.2,0.4,0.6,0.8,0.8,0.2,0.2
tfidf,11357,39796,5,10.2,0.0,0.8,1.0,0.0,0.0,0.0
tfidf,4293,8869,5,5.8,0.0,0.8,1.0,1.0,0.0,
tfidf,39058,20893,5,6.8,0.4,0.8,1.0,0.6,0.2,0.5
tfidf,38660,25271,5,15.0,0.0,0.6,1.0,1.0,0.0,0.0
tfidf,9122,13855,5,4.0,0.8,0.4,0.8,0.0,,
tfidf,18529,32125,5,3.8,0.4,0.0,1.0,1.0,,0.6
tfidf,6401,39581,5,21.4,0.0,0.8,0.8,1.0,0.0,
tfidf,4705,10913,5,2.0,0.6,0.4,0.2,1.0,0.0,0.8
tfidf,41371,53382,5,4.4,0.6,0.8,1.0,1.0,0.0,0.4
sbert,20111,2606,5,11.4,0.0,0.6,0.8,0.8,0.4,
sbert,25644,45715,5,7.4,0.2,0.4,0.0,1.0,0.2,0.2
sbert,22505,45034,5,2.6,1.0,0.4,1.0,1.0,,0.5
sbert,4458,39522,5,4.6,0.6,1.0,0.8,1.0,0.0,0.75
sbert,38919,355,5,6.6,0.4,0.4,1.0,0.8,,
sbert,48531,32833,5,4.0,1.0,0.8,0.0,0.8,0.25,0.4
sbert,32177,59558,5,5.2,1.0,0.6,0.8,0.8,0.2,0.4
sbert,35021,13361,5,16.0,0.2,0.4,0.2,1.0,0.2,0.0
sbert,13834,58931,5,6.2,0.8,0.8,0.8,1.0,0.2,0.2
sbert,22283,13213,5,11.4,0.6,0.4,1.0,0.8,,
sbert,17724,5685,5,5.0,0.0,0.8,0.8,1.0,0.2,0.0
sbert,33895,33362,5,7.0,0.6,0.8,1.0,1.0,,0.0
sbert,21631,26875,5,16.2,0.2,0.2,1.0,1.0,0.0,0.25
sbert,3395,2433,5,5.8,0.6,1.0,1.0,1.0,0.25,0.2
sbert,39276,25445,5,19.6,0.4,0.8,1.0,1.0,0.2,0.8
sbert,26303,39220,5,6.4,0.0,0.6,0.8,0.6,0.0,0.4
sbert,25003,49325,5,7.6,1.0,0.8,1.0,1.0,0.5,0.0
sbert,37898,12578,5,9.2,0.8,0.4,1.0,1.0,0.2,0.8
sbert,10065,13596,5,4.4,0.4,1.0,1.0,1.0,0.3333333333333333,0.2
sbert,41961,39990,5,8.6,0.4,0.6,1.0,1.0,0.0,
sbert,27720,745,5,7.8,0.8,0.6,0.8,1.0,0.25,0.0
sbert,41119,21676,5,2.8,1.0,0.6,1.0,1.0,0.0,0.8
sbert,8259,40010,5,3.6,0.0,0.6,0.8,1.0,0.0,0.0
sbert,34839,7521,5,4.8,0.0,0.4,0.8,1.0,0.25,0.0
sbert,44381,41899,5,11.4,0.4,0.4,1.0,1.0,,0.0
sbert,44654,26296,5,9.4,0.0,0.6,0.6,0.8,,0.25
sbert,21923,26254,5,24.4,0.0,0.6,0.8,1.0,0.6666666666666666,
sbert,4605,36237,5,7.8,0.0,0.8,1.0,1.0,,0.6
sbert,42892,45688,5,8.6,0.8,0.4,1.0,0.8,,
sbert,46314,23663,5,5.4,0.0,0.8,1.0,1.0,0.0,0.75
sbert,31576,32422,5,10.2,0.2,0.4,0.8,0.8,0.3333333333333333,0.25
sbert,32697,14047,5,5.6,0.0,0.6,1.0,1.0,0.0,0.2
sbert,36760,49849,5,11.6,0.8,0.4,1.0,1.0,,0.4
sbert,22514,53975,5,18.2,0.0,0.4,1.0,1.0,0.0,1.0
sbert,48744,11261,5,6.4,1.0,1.0,0.6,1.0,0.25,0.8
sbert,35848,37960,5,3.4,0.4,1.0,0.8,1.0,0.0,0.75
sbert,3189,35152,5,10.2,0.2,0.6,1.0,1.0,,
sbert,38029,6258,5,20.4,0.0,0.4,0.2,1.0,0.75,0.25
sbert,22161,49215,5,6.8,0.6,0.6,1.0,1.0,0.0,0.0
sbert,42903,37414,5,22.8,0.2,0.8,0.0,1.0,0.2,0.0
sbert,27260,16430,5,5.0,0.2,0.8,0.8,0.8,0.0,0.3333333333333333
sbert,11357,39796,5,11.2,0.0,1.0,1.0,0.0,0.0,0.0
sbert,4293,8869,5,16.8,0.2,0.6,1.0,1.0,0.0,
sbert,39058,20893,5,9.4,0.2,0.2,1.0,1.0,0.0,0.6
sbert,38660,25271,5,11.4,0.0,0.6,0.8,1.0,0.0,0.0
sbert,9122,13855,5,8.6,0.2,0.2,1.0,0.0,,
sbert,18529,32125,5,9.2,0.2,0.6,1.0,1.0,,0.3333333333333333
sbert,6401,39581,5,16.4,0.0,0.4,1.0,1.0,0.0,
sbert,4705,10913,5,12.8,0.8,0.2,0.0,1.0,0.2,0.8
sbert,41371,53382,5,5.2,1.0,0.8,0.6,1.0,0.2,1.0
